Kana,Kanji,English,Category,Notes,sentenceJP,sentenceEN,Topic
{A} いかがですか？,,"How about {A}? 
Would you like some {A}?",expression,,,,interactions
{A} がすきです,{A} が好きです,I like {A},expression,,,,basic
{A} がたのしみです,,I'm looking forward to {A},expression,,,,basic
{A} がほしいです,,I want {A},expression,,,,basic
{A} はちょっと,,I don't really like {A},expression,,,,basic
{A} をてつだいます,,I will help with {A},expression,,,,"basic, interactions"
{A}はいくらですか？,,How much does {A} cost?,expression,,,,shopping
あかちゃん,赤ちゃん,baby,noun,,,,family
あき,秋,autumn,noun,,,,"time, weather"
あける,開ける,to open,verb,,,,basic
あげる,上げる,to give,verb,teineigo politeness,,,basic
あげる,上げる,"to raise, to launch",verb,,,,
あさ,朝,morning,noun,,,,time
あじ(さん),叔父さん,uncle (younger than parent),noun,,,,family and people
あした,明日,tomorrow,adverb/clause,,,,time
あたたかい,,warm,adjective,,,,weather
あたらしい,新しい,new,adjective,,,,"shopping, time"
あつい,熱い,hot,adjective,,,,food and drink
あっち,,that way (far),noun,,,,transit
あっちこっち,,here and there,adverb/clause,,,,dimensions
あと,,after,adverb/clause,,{X}のあと,after {X},time
あに,兄,(my) older brother,noun,,,,family
あね,姉,(my) older sister,noun,,,,family
アパート,,apartment,noun,,,,"buildings, home"
あびます,,to take,verb,(e.g. a shower),,,basic
あまい,甘い,sweet,adjective,,,,food and drink
ある,,to exist (inanimate objects),verb,,,,
あるく,歩く,to walk,verb,,,,motion
いう,言う,to say,verb,,,,
いく,行く,to go,verb,,,,motion
いけ,池,pond,noun,,,,nature
いしゃ,,doctor,noun,,,,
いそがしい,忙しい,busy,adjective,,,,work and school
いつか,5 日,fifth of the month,noun,,,,time
いっしょ(に),一緒(に),together,adverb/clause,,一緒に行きましょう！,,family and people
いもうと,妹,younger sister,noun,,,,family and people
いらる,入れる,to put in,verb,,,,basic
いりぐち,入り口,entrance,noun,,,,"buildings, home, transit"
いる,,to exist (living things),verb,,,,
いろ,色,color,noun,,,,
いろいろ,色々,all sorts of,adjective,usually written in kana,,,
うたう,歌う,to sing,verb,,,,hobbies
うでとけい,腕時計,watch,noun,,,,
うまれる,生まれる,to be born,verb,,,,basic
うみ,海,"sea, beach",noun,,男の子が海で泳いでいます。,A boy is swimming in the pool.,nature
うるさい,,annoying,adjective,multiple meanings,,,
うるさい,,"noisy, loud",adjective,,,,
え,絵,picture,noun,,,,hobbies
えいが,映画,movie,noun,,,,hobbies
エレベータ,,elevator,noun,,,,"buildings, home"
エンジニア,,engineer,noun,,,,work and school
おおきい,大きい,big,adjective,,,,dimensions
おおぜい,大勢,many,adjective,,,,
おかあさん,お母さん,mother,noun,,,,family and people
おかし,お菓子,"sweet snack, candy",noun,,,,food and drink
おかね,お金,money,noun,,,,
おこさん,お子さん,kid (formal),noun,,,,
おさら,お皿,plate,noun,,,,food and drink
おじ(さん),伯父さん,uncle (older than parent),noun,,,,family
おじいさん,お祖父さん,grandfather,noun,,,,family
